,stop_id,stop_lat,stop_lon,stop_name,no_of_passengers_avg
192,1715,12.92069,77.60533,"Old Gurrappana Palya,GURUPPANAPALYA,BESIDE MATHA AVALAMMANA TEMPLE",6
193,4967,12.76926,77.62221,Kallabalu,0
194,1084,12.96441402,77.56151084,"Binni Pete,BINNI PETE,OPPOSITE OF CAR GROUND",17
195,3325,13.08820112,77.54678072,"Sambhram College,M.S.PALYA,BESIDE SRI DURGA SWEETS",27
196,808,13.07070795,77.44490398,Adakamaranahalli,15
197,414,12.87747834,77.5840206,"Kothnuru Dinne,J.P.NAGARA 8TH PHASE,OPPOSITE OF GANESHA TEMPLE",8
198,4695,12.875463,77.787053,Srirama Temple,6
199,4912,12.78822877,77.73706771,"Guddatti Gate,NERALURU POST,OPPOSITE OF SHASHANK TOWERS",21
200,47,13.0174217,77.55977236,Yeshwanthpura,5
201,2119,12.90696963,77.47429206,"BMTC Depot-12 Gate Kengeri,KENGERI,IN FRONT OF IMAC INDIA BODY BUILD LTD",42
202,1121,13.00020841,77.56941814,"Malleshwaram 8th Cross,MALLESHWARAM,BESIDE RAGHAVENDRA BHAVANA",17
203,1984,12.72311,77.48433,Muthugadahalli Cross,16
204,3657,13.29274029,77.54239331,"Doddaballapura Railway Station,DODDABALLAPURA,BESIDE GOVT.HOSPITAL",0
205,1108,12.93013508,77.53969132,"Hosakerahalli village,HOSAKEREHALLI,IN FRONT OF S.L.N.TYPING COMPUTER EDUCATION CENTER",42
206,1838,12.88422874,77.55169671,Gubbalala Gate,26
207,1438,12.97348839,77.54153883,"Manu Vana Vijayanagara,VIJAYANAGARA,BESIDE SUB REGISTER OFFICE",19
208,4205,12.92747296,77.85019467,"Shiva Ittige Factory,OPPOSITE OF BRICK FACTORY",17
209,3978,13.20664929,77.66825948,"Kannamangala Gate Yalahanka Road,DEVANAHALLI,BESIDE OPEN AREA",6
210,2452,12.87156871,77.33985201,"Manchanabele Colony,MANCHANA BELE,OPPOSITE OF WATER TANK",10
211,3699,13.21117026,77.56217226,"Suradenapura Yelahanka Road,BESIDE SRI RAMA TEMPLE",37
212,3852,13.09315573,77.65405883,"Kannuru,KANNUR,BESIDE BYRAVESHWARA TEMPLE",3
213,3777,13.10256916,77.74418097,"Jyotipura,JYOTHI PURA,OPPOSITE OF ANJANEYA TEMPLE",37
214,3138,13.0655202,77.45445645,"Makali,MAKALI,OPPOSITE OF S.L.R. BAKERY",29
215,3791,13.03588046,77.73526361,"Avalahalli ,AVALAHALLI,IN FRONT OF GEETHA HOSPITAL",44
216,1861,13.00275821,77.39403723,"Mallasandra,MALLASANDRA,BESIDE SRI RUDRESHWARA PROVISION STORE",20
217,2860,13.0081057,77.43470887,"Betta Halli Gate,BETTAHALLI CROSS,BESIDE OPEN AREA",17
218,4631,12.91815581,77.69769371,Gear School,8
219,4351,13.09362902,77.75054673,"Hancharahalli,ANCHARAHALLI,IN FRONT OF MILK DAIRY",20
220,1009,12.77609,77.42027,Byramangala Lake,5
221,1729,12.93705,77.6011,Dairy Circle,11
222,4322,12.98547569,77.67299933,"DARE,KAGADASAPURA,OPPOSITE OF S.V.M.AUTO WORKS",32
223,123,12.95521833,77.68778156,Borewell,22
224,4592,12.95713089,77.81517076,"Anugondanahalli,IN FRONT OF RAGI MACHIINE",35
225,447,12.99623642,77.56411769,"Devaiah Park,NAGAPPA BLOCK,BESIDE CANARA BANK",11
226,151,12.96650014,77.64133486,"New Horizon School,HAL 2ND STAGE,BESIDE NAC HOME",15
227,1444,12.98793888,77.53711248,"Basaveshwara Nagara Circle,BASAVESHWARANAGARA,IN FRONT OF SOWMYA MEDICALS",25
228,2663,12.95212572,77.22750515,"Magadi,MAGADI,OPPOSITE OF TATA PRERANA MOTORS",13
229,1031,13.04827874,77.64535962,Geddala Halli,16
230,239,12.94286241,77.62246198,NDDA Koramangala,23
231,1777,12.95531496,77.64124545,"Jn of New Bridge,DOMLURU,OPPOSITE OF COIN BOOTH",3
232,3155,13.10114716,77.40545148,"Vajarahalli,VAJARAHALLI,IN FRONT OF RESIDENTIAL AREA",35
233,2084,12.72209448,77.6823153,"Gowrenahalli,Opp to petty shop",5
234,5002,12.84528,77.58137,Pillaganahalli ,3
235,4426,13.04600089,77.79775987,Ganagaluru Cross,18
236,72,12.9720408,77.61065209,Mayohall,9
237,930,12.89880669,77.55813687,"ISRO Layout,ISRO LAYOUT,NEAR BY BHARATHIYA STATE BANK",19
238,3945,13.2168176,77.61928533,"Nagamangala,NAGAMANGALA,BESIDE RESIDENTIAL AREA NAGAMANGALA",15
239,4934,12.76879363,77.69536499,"Naganayakanahalli,ANEKAL TALUK,BESIDE GOVERNMENT SENIOR PRIMARY SCHOOL",7
240,4690,12.88514116,77.81597133,"Panditana Agrahara Gate,SARJAPURA HOBLI,BESIDE OPEN AREA",43
241,4892,12.80017699,77.71485646,"Hale Chandapura,ATTIBELE HOBLI,ANEKAL TALUKU,IN FRONT OF SHAND PIPE INDUSTRY PVT.LTD.",5
242,2999,13.10541027,77.47930718,"Tharabana Halli Choultry,THARABANAHALLI,BESIDE SAPTAGIRI STORES",14
243,3453,13.10445379,77.60523036,"Maruthi Nagara Kannur Road,YELAHANKA,BESIDE SRINIVASA MEDICALS",6
244,2944,13.03940372,77.51900024,Jalahalli cross,2
245,2502,12.84092558,77.47001134,"Gaviyana Palya,HOSAPALYA COLONY,IN FRONT OF GAVIYANAPALYA MILK DAIRY",10
246,3997,13.21757944,77.70292545,"Yarappanahalli,OPPOSITE OF GOVT.MILK DAIRY",10
247,4604,12.94884119,77.70807529,"Munnekolalu,MARATHAHALLI,OPPOSITE OF SURYANARYANA NAVAGRAHA TEMPLE",16
248,539,12.91690622,77.59212998,"Ragigudda,JAYANAGARA 9TH BLOCK,OPPOSITE OF CENTRAL MALL",36
249,5273,12.92291369,77.67039332,"Petrol Bunk,BELLANDUR,IN FRONT AKM & HARMONY APARTMENT",23
250,2728,12.98163821,77.43954219,Hamsa Farm,44
