,stop_id,stop_name
141,4059,"Steel Factory,DODDA BANSAWADI,IN FRONT OF DMM AUTO MOBILES"
142,2814,"Vidyamanyanagar,VIDHYAMANYA NAGARA,BESIDE S.G.T.MOTORS"
143,3515,"Chikkajala,CHIKKAJALA,BESIDE POLICE STATION"
144,3665,"SUNNAGATTA,DODDABALLAPURA,OPPOSITE OF GOVERNMENT SCHOOL"
145,2179,"Kommagatta,KOMMAGATTA,IN FRONT OF LAKE"
146,2111,"Biana Palya,BAYANA PALYA,IN FRONT OF MATAJI STEEL MART"
147,1298,"Water Tank,BANASHANKARI 3RD STAGE,IN FRONT OF PAI INTERNATIONAL ELECTRONICS SHOP"
148,3542,Vasantanagar
149,4643,Aishwarya Appartments
150,1556,"Ramachandrpura,SRIRAMPURA,IN FRONT OF EASTERN MEDICAL STORE"
151,4364,"Somathanahalli,SOMATANAHALLI,IN FRONT OF MILK DAIRY"
152,2457,"Rampura,RAMPURA,IN FRONT OF ANGANAVADI KENDRA"
153,295,Gottigere High School
154,2511,"Dodderi Grama,DODDERI VILLAGE,IN FRONT OF RESIDENTIAL AREA"
155,4015,"Budihala,BUDIHAL,IN FRONT OF LAKSHMINARASHIMA SWAMY FLOUR MILL"
156,2568,"NGEF layout Nagarabhavi,N.G.E.F.LAYOUT,IN FRONT OF PAGE 3BAR & RESTAURANT"
157,1107,"Srinivasa Kalyana Mantapa,ITTAMADU,OPPOSITE OF DOUBLE COCONUT TREES"
158,3080,"BISCUIT FACTORY,BESIDE BISCUIT FACTORY"
159,838,"Maruthi Seva Nagara,MARUTHI SEVA NAGARA,IN FRONT OF SWATHI SWEETS"
160,2148,"Hosakere,SULIKERE,OPPOSITE OF SHANI MAHATHMA TEMPLE"
161,3643,"SRI BANASHANKRI LAYOUT,BANASHANKARI LAYOUT,BESIDE OPEN AREA"
162,1018,"Billakempana Halli,BILLA KEMPANAHALLI,IN FRONT OF RAILWAY GATE"
163,3015,"KMF,HESARAGHATTA LAKE,BESIDE K.M.F.SECURITY GATE"
164,3821,"Mailanahalli Bagalur,MYLANAHALLI,BESIDE OPEN AREA"
165,4565,Shanimahatma Temple
166,4906,"Chikkegade cross,CHIKKA HOGODE GATE,OPPOSITE OF ALLIANCE UNIVERSITY"
167,4878,"Surya City,CHANDAPURA POST & ANEKAL TALUK,OPPOSITE OF B.M.T.C.DEPARTMENT 32"
168,4074,"Coles Park,FRAZER TOWN,OPPOSITE OF PARK VIEW BUILDING"
169,3522,"Venkatala,VENKATALA,BESIDE OPEN AREA"
170,794,"Kammagondanahalli Temple,KAMMAGONDANAHALLI,BESIDE POOJA JEWELLERS & BANKERS"
171,143,"Canara Bank Koramangala,KORAMANGALA RING ROAD,BESIDE SPICE HOT SHOP"
172,2530,"Marale Gowdanadoddy,IN FRONT OF RESIDENTIAL AREA"
173,3279,"Byraveshwara Nagara,BESIDE HAPPY HAIR SALOON"
174,5311,"Lourdhubhai Kalyana mantapa,PREMA NAGARA,IN FRONT OF BENAKA BAR & RESTAURANT"
175,836,"Subbaianapalya,SUBBAIAHAN PALYA,BESIDE AYYAPPA TEMPLE"
176,2825,Nagarbhavi BDA 2nd Block
177,808,Adakamaranahalli
178,3013,TB gate
179,3207,"Hunasemara Nelamangala,NELAMANGALA,IN FRONT OF NIMISHA BAKERY"
180,3954,"Kempa Thimmanahalli Cross,JOGAHALLI,OPPOSITE OF SAPOT FARM"
181,1527,"Nandini Talkies,MAHALAKSHMIPURAM,OPPOSITE OF UDUPI UPAHARA"
182,3020,"Karlapura Palya,KARLAPURA PALYA,BESIDE WATER TANK"
183,5147,"Banamakana Halli,BANAMAKANAHALLI,IN FRONT OF ANJANEYA TEMPLE"
184,3321,"Meda Agrahara Cross,MEDA AGRAHARA,BESIDE BISMILLA PROVISION STORES"
185,287,Bangalore Dairy Circle
186,4702,Roopena Agrahara
187,1993,"Muthurayapura,MUTHURAYANPURA,IN FRONT OF GOVERNMENT PRIMARY SCHOOL"
188,974,"super talkies,COTTONPET,OPPOSITE OF SUPER TALKIES"
189,3507,"Bagaluru Cross,YELAHANKA,BESIDE GANESHA MEDICALS"
190,4950,Government Hospital
191,4016,"Daba Gate Sulibele Road,BUDIHAL,IN FRONT OF NEW AIRLINES DABA"
192,3859,"Kadugondanahalli,K.G.HALLI,OPPOSITE OF POOJA TEXTILES"
193,767,"Hockey Ground,FRAZER TOWN,IN FRONT OF KENDRIYA VIDYALAYA"
194,1501,"Sanjay Gandhi nagar,LAKSHMIDEVI NAGARA,OPPOSITE OF VEENA ENGLISH SCHOOL"
195,147,"Jn of New Bridge,DOMLURU,BESIDE GINGER COFFEE DAY"
196,1546,"Subramanyanagara,SUBRAMANYA NAGARA,BESIDE ELECTRO SYSTEMS PVT LTD"
197,2743,"Metipalya,METTI PALYA,BESIDE SOCIETY"
198,3312,"NISARGA LAYOUT,MAKALI,OPPOSITE OF SRINIVASA PROVISION STORE"
199,17,Veterinary Hospital
200,2424,"Manchanabele,MANCHANA BELE,IN FRONT OF S.L.U.TRADERS"
201,3594,"Mazar Hosahalli,MAJARA HOSAHALLI,IN FRONT OF GOVERNMENT MILK DAIRY"
202,4020,"Arishinakunte Sulibele,ARASHINA KUNTE,OPPOSITE OF MILK DAIRY"
203,3933,HBR Layout 5th Block
204,1806,Maruthinagara
205,2713,"Magadi,IN FRONT OF PUSHPAGIRI BAKERY & SWEETS"
206,1310,boorugunte
207,2096,"Bade Katte,BADEKATTE,OPPOSITE OF DOOR NO 35"
208,3291,"Sapthagiri Layout,BESIDE SRI LAKSHMI VENKATESHWARA PROVISION STORES"
209,4174,Philips Millenium
210,4280,Lakkur Circle
211,3715,"Jn of Dasarahalli Road,BUVANESWARI NAGARA,IN FRONT OF ANNAPURNESWARI BAKERY"
212,3021,"Peenya 2nd stage,PEENYA 2ND STAGE,IN FRONT OF BURJI ENTERPRISES"
213,1242,"Chikka Thimmasandra Gate,CHikka Thimmasandra,IOCL Gas Station"
214,2095,"Banjara Palya,BANJARPALYA,OPPOSITE OF DOOR NO 11"
215,442,Double Road Shanthinagar
216,411,"RBI Layout,R.B.I.LAYOUT,OPPOSITE OF SOMESHWARA SABHA BHAVANA"
217,584,BHEL Gate
218,3849,"Koli Farm Hegade Nagara Road,R.M.H.NAGARA,OPPOSITE OF C.R.P.QUARTERS"
219,465,"Vidya peeta Circle,VINAYAKANAGARA,IN FRONT OF KARNATAKA RAKSHANA VEDIKE OFFICE"
220,5080,Dodda Toogur Cross
221,4775,"Shikaripalya,HULIMANGALA POST,IN FRONT OF GOVERNMENT JUNIOR URDU SCHOOL"
222,2186,"Mallasandra,MALLASANDRA,BESIDE SRI VEERABHADRA SWAMY TEMPLE"
223,4870,O-MAX CIRCLE
224,3363,"MS Palya,MUNESHWARA LAYOUT,BESIDE OPEN AREA"
225,3045,"Gopalapura,GOPALPURA,BESIDE GRAMA PANCHAYATI OFFICE"
226,333,New Guddadahalli
